Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Torino FC,Daniele Martinelli,23,Italy,Centre-Back,CB,£270Th.,Ternana Calcio,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/daniele-martinelli/profil/spieler/21761
Torino FC,Federico Marchetti,22,Italy,Goalkeeper,GK,£45Th.,US Pro Vercelli,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/federico-marchetti/profil/spieler/22318
Torino FC,Alessandro Campo,21,Italy,Right Winger,RW,-,AS Gualdo Calcio,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/alessandro-campo/profil/spieler/82681
Torino FC,Segun Omolade,22,Nigeria,attack,attack,-,AS Biellese,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/segun-omolade/profil/spieler/169824
Torino FC,Giovanni Marchese,20,Italy,Left-Back,LB,£90Th.,Treviso FBC 1993,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/giovanni-marchese/profil/spieler/21887
Delfino Pescara 1936,Vlada Avramov,26,Serbia,Goalkeeper,GK,£450Th.,Vicenza Calcio,Italy,loan transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/vlada-avramov/profil/spieler/22185
Delfino Pescara 1936,Daniele Delli Carri,33,Italy,Centre-Back,CB,£45Th.,ACF Fiorentina,Italy,free transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/daniele-delli-carri/profil/spieler/15336
Delfino Pescara 1936,Adolfo Daniele Speranza,25,Italy,Central Midfield,CM,£135Th.,Ascoli Calcio 1898,Italy,free transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/adolfo-daniele-speranza/profil/spieler/22321
Delfino Pescara 1936,Davide Matteini,23,Italy,Left Winger,LW,£90Th.,US Palermo,Italy,loan transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/davide-matteini/profil/spieler/29593
Delfino Pescara 1936,Mario Bonfiglio,31,Italy,Centre-Forward,CF,-,AC Pisa 1909,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/mario-bonfiglio/profil/spieler/225438
Delfino Pescara 1936,Stefano Lorenzi,28,Italy,Centre-Back,CB,£90Th.,Treviso FBC 1993,Italy,loan transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/stefano-lorenzi/profil/spieler/5914
Delfino Pescara 1936,Antonio Aquilanti,19,Italy,Centre-Back,CB,£45Th.,Fiorentina Primavera,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/antonio-aquilanti/profil/spieler/22264
Delfino Pescara 1936,Abderrazzak Jadid,22,Morocco,Central Midfield,CM,£135Th.,Brescia Calcio,Italy,loan transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/abderrazzak-jadid/profil/spieler/16896
Delfino Pescara 1936,Michele Tardioli,34,Italy,Goalkeeper,GK,£45Th.,Sangiovannese 1927,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/michele-tardioli/profil/spieler/6080
Delfino Pescara 1936,Nicola Diliso,30,Italy,defence,defence,-,US Catanzaro,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/nicola-diliso/profil/spieler/102544
Delfino Pescara 1936,Davide Pradolin,22,Italy,Left Midfield,LM,-,Favaro Calcio,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/davide-pradolin/profil/spieler/102003
Delfino Pescara 1936,Luca Tognozzi,27,Italy,Central Midfield,CM,-,Sangiovannese 1927,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/luca-tognozzi/profil/spieler/45288
Delfino Pescara 1936,Fabrizio Cammarata,29,Italy,Centre-Forward,CF,£315Th.,US Catanzaro,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/fabrizio-cammarata/profil/spieler/16890
Delfino Pescara 1936,Emanuele Pesaresi,28,Italy,Left-Back,LB,£360Th.,Torino FC,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/emanuele-pesaresi/profil/spieler/5840
Delfino Pescara 1936,Luca Vigna,27,Italy,attack,attack,£180Th.,AC Arezzo,Italy,loan transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/luca-vigna/profil/spieler/23342
Delfino Pescara 1936,Nicola Di Liso,30,Italy,Centre-Back,CB,£63Th.,US Catanzaro,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/nicola-di-liso/profil/spieler/22081
Delfino Pescara 1936,Modibo Diakité,18,France,Centre-Back,CB,-,Pescara Primavera,Italy,-,In,2005,s,serie-b,https://www.transfermarkt.co.uk/modibo-diakite/profil/spieler/41749
Delfino Pescara 1936,Andrea Paolucci,18,Italy,Central Midfield,CM,-,Pescara Primavera,Italy,-,In,2005,s,serie-b,https://www.transfermarkt.co.uk/andrea-paolucci/profil/spieler/44540
Delfino Pescara 1936,Ivan Vellucci,18,Italy,Right Winger,RW,-,Pescara Youth,Italy,-,In,2005,s,serie-b,https://www.transfermarkt.co.uk/ivan-vellucci/profil/spieler/42900
Delfino Pescara 1936,Axel Vicentini,18,Italy,Left-Back,LB,-,Pescara Primavera,Italy,-,In,2005,s,serie-b,https://www.transfermarkt.co.uk/axel-vicentini/profil/spieler/42901
Delfino Pescara 1936,Stefano Di Berardino,18,Italy,Centre-Back,CB,-,Pescara Primavera,Italy,-,In,2005,s,serie-b,https://www.transfermarkt.co.uk/stefano-di-berardino/profil/spieler/42844
Delfino Pescara 1936,Vincenzo Aridità,19,Italy,Goalkeeper,GK,-,Pescara Youth,Italy,-,In,2005,s,serie-b,https://www.transfermarkt.co.uk/vincenzo-aridita/profil/spieler/22745
